from_id,to_id,relation_type,weight
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty do wyboru wspólne dla kierunkuCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Komunikacja w działalności gospodarczejCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Negocjacje w biznesieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy organizacji i zarządzanieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Wprowadzenie do mikroekonomiiCollege of Economics and Social Sciences,Semester 1,6
Ekonomia [lic] [st]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy socjologiiCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Polska Myśl DemokratycznaCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Encyklopedia prawaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [st]College of Economics and Social Sciences,MatematykaCollege of Economics and Social Sciences,Semester 1,5
Ekonomia [lic] [st]College of Economics and Social Sciences,Ochrona własności intelektualnejCollege of Economics and Social Sciences,Semester 1,1
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy filozofii i metodologia naukCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Technologia informacyjnaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Przysposobienie biblioteczneCollege of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Zasady BHP i ochrona przeciwpożarowaCollege of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 2,8
Ekonomia [lic] [st]College of Economics and Social Sciences,MikroekonomiaCollege of Economics and Social Sciences,Semester 2,5
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy nauki o przedsiębiorstwieCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Kryzys i zmiana społeczna w myśli europejskiejCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,LogikaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Twórcze rozwiązywanie konfliktówCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Współczesna antropologia filozoficznaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Matematyka w ekonomiiCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Prawo cywilneCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Zarządzanie środowiskiem i ekologiaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Wychowanie fizyczneCollege of Economics and Social Sciences,Semester 2,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Analiza ekonomicznaCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse publiczneCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Gospodarka regionalna i lokalnaCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy makroekonomiiCollege of Economics and Social Sciences,Semester 3,6
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy marketingu gospodarczegoCollege of Economics and Social Sciences,Semester 3,2
Ekonomia [lic] [st]College of Economics and Social Sciences,RachunkowośćCollege of Economics and Social Sciences,Semester 3,5
Ekonomia [lic] [st]College of Economics and Social Sciences,Statystyka i badania rynkuCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Wychowanie fizyczneCollege of Economics and Social Sciences,Semester 3,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 4,8
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty do wyboru wspólne dla kierunkuCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,DemografiaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Krajowy i unijny rynek pracyCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Ekonometria i jej zastosowaniaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Metody oceny projektów gospodarczychCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Międzynarodowe stosunki gospodarczeCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Wychowanie fizyczneCollege of Economics and Social Sciences,Semester 4,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Strategiczna analiza otoczenia przedsiębiorstwaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Teoria i praktyka przedsiębiorczościCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Analiza rynku i konsumentaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse przedsiębiorstwCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedsiębiorstwo na rynku kapitałowymCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Strategie przedsiębiorstwCollege of Economics and Social Sciences,Semester 4,1
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Etyka w finansachCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Społeczna odpowiedzilność biznesuCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Bankowa obsługa przedsiębiorstwCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse przedsiębiorstwCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Rachunkowość finansowaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Ubezpieczenia w gospodarceCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [st]College of Economics and Social Sciences,BiznesplanCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Ekonomia integracji europejskiejCollege of Economics and Social Sciences,Semester 5,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Polityka gospodarczaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Polityka społecznaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Ryzyko w działalności gospodarczejCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Systemy motywowania w przedsiębiorstwieCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Ekonomia menedżerskaCollege of Economics and Social Sciences,Semester 5,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Innowacyjność w działalności przedsiębiorstwaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Internacjonalizacja przedsiębiorstwaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Teoria i polityka płacCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse samorządu terytorialnegoCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse UECollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Analiza finansowaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Finanse grup kapitałowychCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Rachunek kosztówCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Rynek pieniężno-kapitałowyCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Kreatywny Semestr ProjektowaniaCollege of Economics and Social Sciences,Semester 5,
Ekonomia [lic] [st]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 6,16
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Formy ugrupowań integracyjnychCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedsiębiorstwo na rynku Unii EuropejskiejCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Praca dyplomowaCollege of Economics and Social Sciences,Semester 6,10
Ekonomia [lic] [st]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Rachunkowość MSPCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Rachunkowość podatkowaCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Praca dyplomowaCollege of Economics and Social Sciences,Semester 6,10
Ekonomia [lic] [st]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 6,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Kreatywny Semestr ProjektowaniaCollege of Economics and Social Sciences,Semester 6,
Ekonomia [lic] [nst]College of Economics and Social Sciences,Komunikacja w działalności gospodarczejCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Negocjacje w biznesieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Wprowadzenie do mikroekonomiiCollege of Economics and Social Sciences,Semester 1,6
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmiot humanistyczno - społeczny do wyboruCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy socjologiiCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Polska Myśl DemokratycznaCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Encyklopedia prawaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,MatematykaCollege of Economics and Social Sciences,Semester 1,5
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ochrona własności intelektualnejCollege of Economics and Social Sciences,Semester 1,1
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy filozofii i metodologia naukCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy organizacji i zarządzanieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty do wyboru wspólne dla kierunkuCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Technologia informacyjnaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Zasady BHP i ochrona przeciwpożarowaCollege of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przysposobienie biblioteczne (2h)College of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [nst]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 2,8
Ekonomia [lic] [nst]College of Economics and Social Sciences,MikroekonomiaCollege of Economics and Social Sciences,Semester 2,6
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmiot humanistyczno - społeczny do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,LogikaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Współczesna antropologia filozoficznaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Matematyka w ekonomiiCollege of Economics and Social Sciences,Semester 2,5
Ekonomia [lic] [nst]College of Economics and Social Sciences,Prawo cywilneCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Zarządzanie środowiskiem i ekologiaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse publiczneCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Gospodarka regionalna i lokalnaCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy makroekonomiiCollege of Economics and Social Sciences,Semester 3,6
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy nauki o przedsiębiorstwieCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,RachunkowośćCollege of Economics and Social Sciences,Semester 3,5
Ekonomia [lic] [nst]College of Economics and Social Sciences,Statystyka i badania rynkuCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 3,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Kryzys i zmiana społeczna w myśli europejskiejCollege of Economics and Social Sciences,Semester 3,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Twórcze rozwiązywanie konfliktówCollege of Economics and Social Sciences,Semester 3,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 4,8
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty do wyboru wspólne dla kierunkuCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,DemografiaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Krajowy i unijny rynek pracyCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Analiza ekonomicznaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ekonometria i jej zastosowaniaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Podstawy marketingu gospodarczegoCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Polityka gospodarczaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Strategiczna analiza otoczenia przedsiębiorstwaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Teoria i praktyka przedsiębiorczościCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Analiza rynku i konsumentaCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedsiębiorstwo na rynku kapitałowymCollege of Economics and Social Sciences,Semester 4,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmiot specjalnościowy do wyboruCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Etyka w finansachCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Społeczna odpowiedzialność biznesuCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Bankowa obsługa przedsiębiorstwCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Rachunkowość finansowaCollege of Economics and Social Sciences,Semester 4,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ubezpieczenia w gospodarceCollege of Economics and Social Sciences,Semester 4,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Metody oceny projektów gospodarczychCollege of Economics and Social Sciences,Semester 5,5
Ekonomia [lic] [nst]College of Economics and Social Sciences,Międzynarodowe stosunki gospodarczeCollege of Economics and Social Sciences,Semester 5,5
Ekonomia [lic] [nst]College of Economics and Social Sciences,Polityka społecznaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ryzyko w działalności gospodarczejCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Systemy motywowaniaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ekonomia menedżerskaCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Innowacyjność w działalności przedsiębiorstwaCollege of Economics and Social Sciences,Semester 5,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Strategie przedsiębiorstwCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Teoria i polityka płacCollege of Economics and Social Sciences,Semester 5,2
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse samorządu terytorialnegoCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse UECollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Analiza finansowaCollege of Economics and Social Sciences,Semester 5,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Rachunek kosztówCollege of Economics and Social Sciences,Semester 5,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Rynek pieniężno-kapitałowyCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 5,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Kreatywny Semestr ProjektowaniaCollege of Economics and Social Sciences,Semester 5,
Ekonomia [lic] [nst]College of Economics and Social Sciences,BiznesplanCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Ekonomia integracji europejskiejCollege of Economics and Social Sciences,Semester 6,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Formy ugrupowań integracyjnychCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedsiębiorstwo na rynku Unii EuropejskiejCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse przedsiębiorstwCollege of Economics and Social Sciences,Semester 6,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Internacjonalizacja przedsiębiorstwaCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Praca dyplomowaCollege of Economics and Social Sciences,Semester 6,10
Ekonomia [lic] [nst]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Przedmioty specjalnościowe do wyboruCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Rachunkowość MSPCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Rachunkowość podatkowaCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse grup kapitałowychCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Finanse przedsiębiorstwCollege of Economics and Social Sciences,Semester 6,4
Ekonomia [lic] [nst]College of Economics and Social Sciences,Praca dyplomowaCollege of Economics and Social Sciences,Semester 6,10
Ekonomia [lic] [nst]College of Economics and Social Sciences,Seminarium dyplomoweCollege of Economics and Social Sciences,Semester 6,3
Ekonomia [lic] [nst]College of Economics and Social Sciences,Kreatywny Semestr ProjektowaniaCollege of Economics and Social Sciences,Semester 6,
Ekonomia [mgr] [st]College of Economics and Social Sciences,Przedmiot kierunkowy do wyboruCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Ekonomia sektora publicznegoCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Państwo a biznesCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Ekonomia menedżerskaCollege of Economics and Social Sciences,Semester 1,5
Ekonomia [mgr] [st]College of Economics and Social Sciences,Modelowanie i prognozowanie procesów gospodarczychCollege of Economics and Social Sciences,Semester 1,5
Ekonomia [mgr] [st]College of Economics and Social Sciences,Teoria opodatkowaniaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Zarządzanie strategiczneCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [mgr] [st]College of Economics and Social Sciences,Język angielski/niemiecki w ekonomiiCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Filozofia społecznaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Prawo gospodarczeCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,E-biznesCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Praktyki zawodoweCollege of Economics and Social Sciences,Semester 2,10
Ekonomia [mgr] [st]College of Economics and Social Sciences,Przedmiot kierunkowy do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Polityka konkurencjiCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Polityka przemysłowaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Makroekonomia IICollege of Economics and Social Sciences,Semester 2,5
Ekonomia [mgr] [st]College of Economics and Social Sciences,Wnioskowanie statystyczneCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Zaawansowane finanse przedsiębiorstwCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Zarządzanie projektamiCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,ControllingCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Zarządzanie zmianą w przedsiębiorstwieCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [mgr] [st]College of Economics and Social Sciences,Historia myśli ekonomicznejCollege of Economics and Social Sciences,Semester 3,4
Ekonomia [mgr] [st]College of Economics and Social Sciences,Ekonomia międzynarodowaCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Gospodarowanie kapitałem ludzkimCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Metody badań marketingowychCollege of Economics and Social Sciences,Semester 3,3
Ekonomia [mgr] [st]College of Economics and Social Sciences,Strategie inwestycyjne przedsiębiorstwCollege of Economics and Social Sciences,Semester 3,4
