node_id,node_type
Inżynieria Materiałowa [inż] [st]Faculty of Materials Science and Engineering,Faculty of Materials Science and Engineering
Inżynieria Materiałowa [mgr] [st]Faculty of Materials Science and Engineering,Faculty of Materials Science and Engineering
Matematyka [lic] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Matematyka i Analiza Danych [lic] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Informatyka i Systemy Informacyjne [inż] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Inżynieria i Analiza Danych [inż] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Informatyka i Systemy Informacyjne [mgr] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Matematyka [mgr] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Automatyka i Robotyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Energetyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Lotnictwo i Kosmonautyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [inż] [nst]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Automatyka i Robotyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Energetyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Lotnictwo i Kosmonautyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [mgr] [nst]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Automatyka Robotyka i Informatyka Przemysłowa [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
Inżynieria Biomedyczna [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
Mechatronika [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
Automatyka Robotyka i Informatyka Przemysłowa [inż] [nst]Faculty of Mechatronics,Faculty of Mechatronics
Mechatronika [inż] [nst]Faculty of Mechatronics,Faculty of Mechatronics
Automatyka Robotyka i Informatyka Przemysłowa [mgr] [st]Faculty of Mechatronics,Faculty of Mechatronics
Inżynieria Biomedyczna [mgr] [st]Faculty of Mechatronics,Faculty of Mechatronics
Mechatronika [mgr] [st]Faculty of Mechatronics,Faculty of Mechatronics
Inżynieria Pojazdów Elektrycznych i Hybrydowych [inż] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechanika Pojazdów i Maszyn Roboczych [inż] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechatronika Pojazdów i Maszyn Roboczych [inż] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechanika Pojazdów i Maszyn Roboczych [inż] [nst]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechatronika Pojazdów i Maszyn Roboczych [inż] [nst]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Inżynieria Pojazdów Elektrycznych i Hybrydowych [mgr] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechanika Pojazdów i Maszyn Roboczych [mgr] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechatronika Pojazdów i Maszyn Roboczych [mgr] [st]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechanika Pojazdów i Maszyn Roboczych [mgr] [nst]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Mechatronika Pojazdów i Maszyn Roboczych [mgr] [nst]Faculty of Automotive and Construction Machinery Engineering,Faculty of Automotive and Construction Machinery Engineering
Transport [inż] [st]Faculty of Transport,Faculty of Transport
Transport [inż] [nst-zaocz.]Faculty of Transport,Faculty of Transport
Transport [mgr] [st]Faculty of Transport,Faculty of Transport
Transport [mgr] [nst-zaocz.]Faculty of Transport,Faculty of Transport
Zarządzanie [lic] [st]Faculty of Management,Faculty of Management
Zarządzanie [lic] [nst-zaocz.]Faculty of Management,Faculty of Management
Inżynieria Zarządzania [inż] [st]Faculty of Management,Faculty of Management
Zarządzanie Bezpieczeństwem Infrastruktury Krytycznej [inż] [st]Faculty of Management,Faculty of Management
Inżynieria Zarządzania [inż] [nst-zaocz.]Faculty of Management,Faculty of Management
Zarządzanie Bezpieczeństwem Infrastruktury Krytycznej [inż] [nst-zaocz.]Faculty of Management,Faculty of Management
Inżynieria Zarządzania [mgr] [st]Faculty of Management,Faculty of Management
Zarządzanie [mgr] [st]Faculty of Management,Faculty of Management
Zarządzanie Bezpieczeństwem Infrastruktury Krytycznej [mgr] [st]Faculty of Management,Faculty of Management
Inżynieria Zarządzania [mgr] [nst-zaocz.]Faculty of Management,Faculty of Management
Zarządzanie [mgr] [nst-zaocz.]Faculty of Management,Faculty of Management
Zarządzanie Bezpieczeństwem Infrastruktury Krytycznej [mgr] [nst-zaocz.]Faculty of Management,Faculty of Management
Ekonomia [lic] [st]Kolegium Nauk Ekonomicznych i Społecznych w Płocku,Kolegium Nauk Ekonomicznych i Społecznych w Płocku
Ekonomia [lic] [nst]Kolegium Nauk Ekonomicznych i Społecznych w Płocku,Kolegium Nauk Ekonomicznych i Społecznych w Płocku
